"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 17 22:59:00 KST 2022","Thu Nov 17 22:59:06 KST 2022","5991","firefox","","","","","homepage has title and links to intro page",""
"failed","Thu Nov 17 22:59:00 KST 2022","Thu Nov 17 22:59:09 KST 2022","9059","webkit","","","","","Must fail",""
"passed","Thu Nov 17 22:59:00 KST 2022","Thu Nov 17 22:59:06 KST 2022","5446","webkit","","","","","homepage has title and links to intro page",""
"passed","Thu Nov 17 22:59:00 KST 2022","Thu Nov 17 22:59:04 KST 2022","3520","chromium","","","","","homepage has title and links to intro page",""
"failed","Thu Nov 17 22:59:00 KST 2022","Thu Nov 17 22:59:11 KST 2022","11003","firefox","","","","","Must fail",""
"failed","Thu Nov 17 22:59:00 KST 2022","Thu Nov 17 22:59:08 KST 2022","8003","chromium","","","","","Must fail",""
